 v-sweep       voutval       vloadval      ir1           ir2           ivdd          ivdda         ivddh         ndata         vd9           vd8           vd7           vd6           vd5           vd4           vd3           vd2           vd1           vd0          
 5.000000e+00  3.156703e-04  3.156703e-04  5.131501e-07  1.018756e-06  2.343503e-10  9.096423e-06  8.964651e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00 
 5.000000e+00  5.251300e-02  5.251300e-02  5.131501e-07  1.018756e-06  2.343529e-10  9.196913e-06  8.951646e-10  1.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00 
 5.000000e+00  9.873031e-02  9.873031e-02  5.131501e-07  1.018756e-06  2.343549e-10  9.220889e-06  8.940499e-10  2.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00 
 5.000000e+00  1.395600e-01  1.395600e-01  5.131501e-07  1.018756e-06  2.343556e-10  9.228047e-06  8.928097e-10  3.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00 
 5.000000e+00  1.766270e-01  1.766270e-01  5.131501e-07  1.018756e-06  2.343546e-10  9.231239e-06  8.919648e-10  4.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00 
 5.000000e+00  2.110067e-01  2.110067e-01  5.131501e-07  1.018756e-06  2.343552e-10  9.233097e-06  8.914344e-10  5.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00 
 5.000000e+00  2.426999e-01  2.426999e-01  5.131501e-07  1.018756e-06  2.343559e-10  9.234369e-06  8.902606e-10  6.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00 
 5.000000e+00  2.722443e-01  2.722443e-01  5.131501e-07  1.018756e-06  2.343571e-10  9.235384e-06  8.897312e-10  7.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00 
 5.000000e+00  3.001773e-01  3.001773e-01  5.131501e-07  1.018756e-06  2.343539e-10  9.236316e-06  8.833435e-10  8.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00 
 5.000000e+00  3.264987e-01  3.264987e-01  5.131501e-07  1.018756e-06  2.343553e-10  9.237276e-06  8.831515e-10  9.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00 
 5.000000e+00  3.512092e-01  3.512092e-01  5.131501e-07  1.018756e-06  2.343559e-10  9.238359e-06  8.829056e-10  1.000000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00 
 5.000000e+00  3.748443e-01  3.748443e-01  5.131501e-07  1.018756e-06  2.343570e-10  9.239678e-06  8.817363e-10  1.100000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  1.800000e+00 
 5.000000e+00  3.974051e-01  3.974051e-01  5.131501e-07  1.018756e-06  2.343536e-10  9.241347e-06  8.815074e-10  1.200000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00 
 5.000000e+00  4.188917e-01  4.188917e-01  5.131501e-07  1.018756e-06  2.343567e-10  9.243485e-06  8.812721e-10  1.300000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  1.800000e+00 
 5.000000e+00  4.398416e-01  4.398416e-01  5.131501e-07  1.018756e-06  2.343552e-10  9.246306e-06  8.805168e-10  1.400000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00 
 5.000000e+00  4.597173e-01  4.597173e-01  5.131501e-07  1.018756e-06  2.343548e-10  9.249910e-06  8.800844e-10  1.500000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  1.800000e+00 
 5.000000e+00  4.790531e-01  4.790531e-01  5.131501e-07  1.018756e-06  2.350727e-10  9.254582e-06  8.488583e-10  1.600000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00 
 5.000000e+00  4.973167e-01  4.973167e-01  5.131501e-07  1.018756e-06  2.350727e-10  9.260384e-06  8.487708e-10  1.700000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00 
 5.000000e+00  5.155803e-01  5.155803e-01  5.131501e-07  1.018756e-06  2.350727e-10  9.267916e-06  8.480240e-10  1.800000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00 
 5.000000e+00  5.327697e-01  5.327697e-01  5.131501e-07  1.018756e-06  2.350737e-10  9.276972e-06  8.479276e-10  1.900000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00 
 5.000000e+00  5.499591e-01  5.499591e-01  5.131501e-07  1.018756e-06  2.350725e-10  9.288361e-06  8.477473e-10  2.000000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00 
 5.000000e+00  5.660743e-01  5.660743e-01  5.131501e-07  1.018756e-06  2.350750e-10  9.301547e-06  8.475767e-10  2.100000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00 
 5.000000e+00  5.821896e-01  5.821896e-01  5.131501e-07  1.018756e-06  2.350748e-10  9.317556e-06  8.474986e-10  2.200000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00 
 5.000000e+00  5.977674e-01  5.977674e-01  5.131501e-07  1.018756e-06  2.350739e-10  9.336044e-06  8.463200e-10  2.300000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00 
 5.000000e+00  6.133448e-01  6.133448e-01  5.131501e-07  1.018756e-06  2.350732e-10  9.357795e-06  8.412032e-10  2.400000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00 
 5.000000e+00  6.278485e-01  6.278485e-01  5.131501e-07  1.018756e-06  2.350731e-10  9.381175e-06  8.407224e-10  2.500000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00 
 5.000000e+00  6.423524e-01  6.423524e-01  5.131501e-07  1.018756e-06  2.350760e-10  9.407674e-06  8.401021e-10  2.600000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00 
 5.000000e+00  6.563189e-01  6.563189e-01  5.131501e-07  1.018756e-06  2.350736e-10  9.436140e-06  8.399206e-10  2.700000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  1.800000e+00  1.800000e+00 
 5.000000e+00  6.702855e-01  6.702855e-01  5.131501e-07  1.018756e-06  2.350740e-10  9.467381e-06  8.388904e-10  2.800000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00 
 5.000000e+00  6.837156e-01  6.837156e-01  5.131501e-07  1.018756e-06  2.350755e-10  9.499812e-06  8.385706e-10  2.900000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00  1.800000e+00 
 5.000000e+00  6.971459e-01  6.971459e-01  5.131501e-07  1.018756e-06  2.350737e-10  9.534247e-06  8.386395e-10  3.000000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00 
 5.000000e+00  7.100398e-01  7.100398e-01  5.131501e-07  1.018756e-06  2.350767e-10  9.568770e-06  8.384143e-10  3.100000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  1.800000e+00  1.800000e+00 
 5.000000e+00  7.229308e-01  7.229308e-01  5.131501e-07  1.018756e-06  2.350716e-10  9.604214e-06  8.052631e-10  3.200000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00 
 5.000000e+00  7.352869e-01  7.352869e-01  5.131501e-07  1.018756e-06  2.350762e-10  9.638536e-06  8.048931e-10  3.300000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00 
 5.000000e+00  7.476429e-01  7.476429e-01  5.131501e-07  1.018756e-06  2.350760e-10  9.672653e-06  8.038193e-10  3.400000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00 
 5.000000e+00  7.599990e-01  7.599990e-01  5.131501e-07  1.018756e-06  2.350753e-10  9.706009e-06  8.037448e-10  3.500000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00 
 5.000000e+00  7.718183e-01  7.718183e-01  5.131501e-07  1.018756e-06  2.350742e-10  9.736726e-06  8.027229e-10  3.600000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00 
 5.000000e+00  7.830999e-01  7.830999e-01  5.131501e-07  1.018756e-06  2.350753e-10  9.764558e-06  8.026455e-10  3.700000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00 
 5.000000e+00  7.949191e-01  7.949191e-01  5.131501e-07  1.018756e-06  2.350774e-10  9.791815e-06  8.022591e-10  3.800000e+01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00 
